name,ID,tags
Jeera Aloo,189,green chili  lemon juic  chili powd  boiled potatoesvegetarianspicygujaratwest
Kansar,190,wheat flour  cashew  rapeseed oilvegetarian-1gujaratwest
Keri no ras,191,mango  sugarvegetariansourgujaratwest
Khakhra,192,whole wheat flour  low fat  bengal gram flourvegetarianspicygujaratwest
Khandvi,193,green chili past  white sesame se  gram flour  curry leav  green chilivegetarianspicygujaratwest
Kombdi vade,194,rice flour  urad d  wheat flour  gram flour  turmericvegetarianspicymaharashtrawest
Laapsi,195,cinnamon  jaggeri  clarified butt  dry roastedvegetarianspicymadhya pradeshcentr
Koshimbir,196,cucumb  carrot  tomato  cilantrovegetarianspicymaharashtrawest
Methi na Gota,197,rava  gram flour  lemon juic  turmer  fenugreek leavesvegetarianbittergujaratwest
Mohanthal,198,rose wat  pistachio  badam  bengal gram flour  saffronvegetariansweetgujaratwest
Muthiya,199,bottle gourd  whole wheat flour  rava  sesame se  bengal gram flourvegetarianbittergujaratwest
Patra,200,arbi ke patt  sesame se  gur  bengal gram flour  imlivegetarianspicygujaratwest
Pav Bhaji,201,pav bhaji masala  gobi  potato  green pea  dinner rollsvegetarianspicymaharashtrawest
Puri Bhaji,202,aloo  urad d  mustard  ginger  curry leavesvegetarianspicymaharashtrawest
Sabudana Khichadi,203,raw peanut  sabudana  lemon  avocado oil  curry leav  green chilivegetarianspicymaharashtrawest
Sev khamani,204,khaman  pomegran  sev  powdered sugar  garlicvegetarianspicygujaratwest
Sev tameta,205,sev  ginger  tomato  sugarvegetarianspicygujaratwest
Namakpara,206,wheat flour  baking soda  all purpose flour  black pepp  sunflower oilvegetarianspicygujaratwest
Sukhdi,207,whole wheat flour  gur  clarified buttervegetariansweetmaharashtrawest
Surnoli,208,rice flak  yogurt  raw ric  jaggeri  grated coconutvegetarianspicymaharashtrawest
Thalipeeth,209,whole wheat flour  rice flour  pearl millet flour  sorghum flour  sesame seedsvegetarianspicymaharashtrawest
Undhiyu,210,sweet potato  surti papdi  baby potato  valor papdi  green peasvegetarianspicygujaratwest
Veg Kolhapuri,211,gobi  potato  bean  khus khu  coconutvegetarianspicymaharashtrawest
Vindaloo,212,chicken  coconut oil  wine vinegar  ginger  green  cinnamonnon vegetarianspicygoawest
Lilva Kachori,213,green garlic chutney  fresh green pea  ginger  lemon juic  plain flourvegetarianspicygujaratwest
Mag Dhokli,214,moong bean  jaggeri  red chilli  oil  saltvegetarianspicygujaratwest
Khichu,215,rice flour  sesame se  baking soda  peanut oilvegetarianspicygujaratwest
Thepla,216,chickpea flour  methi leav  jowar flour  wheat flourvegetarianspicygujaratwest
Farsi Puri,217,semolina  clarified butt  oil  white flour  black peppervegetarian-1gujaratwest
Khaman,218,yogurt  fresh coconut  sesame se  semolina  gram flourvegetarianspicygujaratwest
Turiya Patra Vatana sabji,219,ridge gourd  baking soda  sugar  grated coconut  peasvegetarianspicygujaratwest
Churma Ladoo,220,whole wheat flour  khus khu  sesame se  dry coconut  gurvegetariansweetrajasthanwest
Cheera Doi,221,rice  mango  curdvegetariansweetwest bengaleast
Gheela Pitha,222,sticky ric  rice flour  jaggeri  orange rindvegetariansweetassamnorth east
Khar,223,raw papaya  panch phoran masala  nigella se  mustard oil  fennel seedsvegetarian-1assamnorth east
Kumol Sawul,224,rice  egg  carrot  beetrootnon vegetarianspicyassamnorth east
Luchi,225,maida  vegetable oilvegetarian-1west bengaleast
Alu Pitika,226,potato  mustard oil  fish  green chilliesnon vegetarianspicyassamnorth east
Masor tenga,227,ridge gourd  fish  lemon  tomato  mustard oilnon vegetarianspicyassamnorth east
Bengena Pitika,228,brinjal  onion  salt  sesame se  coriandervegetarian-1assamnorth east
Bilahi Maas,229,potato  garam masala  tomato  mustard oil  bay leafnon vegetarian-1assamnorth east
Black rice,230,forbidden black ric  chicken  olive oil  slivered almond  garlic powdernon vegetarian-1manipurnorth east
Bora Sawul,231,biryani masala  mixed veget  yellow moong da  whole r  mustard seedsvegetarianspicyassamnorth east
Brown Rice,232,brown ric  soy sauc  olive oilvegetarian-1-1-1
Chingri malai curry,233,coconut milk  lobster  fresh green chilli  ginger  red onionnon vegetarianspicywest bengaleast
Goja,234,baking soda  clarified butt  oil  all purpose flourvegetariansweetwest bengaleast
Hando Guri,235,jaggeri  raisinsvegetariansweetassamnorth east
Haq Maas,236,lamb  garam masala powd  curd  turmer  bay leafnon vegetarianspicyassamnorth east
Chingri Bhape,237,coconut  prawn  curd  mustard se  green chilinon vegetarian-1west bengaleast
Kabiraji,238,fish fillet  besan  lemon  mint  gingernon vegetarianspicywest bengaleast
Khorisa,239,fermented bamboo shoot  potato  ginger  green  mustard oilvegetarianspicyassamnorth east
Koldil Chicken,240,banana flow  chicken  green chili  mustard oil  lemon juicenon vegetarianspicyassamnorth east
Konir Dom,241,aloo  tomato  mustard oil  bay leaf  cinnamon sticknon vegetarianspicyassamnorth east
Koldil Duck,242,rice flour  mutton  banana  gram flour  olive oil  baking powdernon vegetarianspicyassamnorth east
Masor Koni,243,fish ro  pumpkin flow  mustard oil  turmer  tomatonon vegetarianspicyassamnorth east
Mishti Chholar Dal,244,chana d  fresh coconut  ginger  cinnamon  raisinsvegetariansweetwest bengaleast
Pakhala,245,curd  cooked ric  curry leav  dry chillivegetarian-1odishaeast
Pani Pitha,246,tea leav  white sesame se  dry coconut  soaked ricevegetarian-1assamnorth east
Payokh,247,basmati ric  rose wat  sugar  clarified butt  cardamom podsvegetariansweetassamnorth east
Prawn malai curry,248,coconut milk  prawn  garlic  turmer  sugarnon vegetarianspicywest bengaleast
Red Rice,249,red pepp  red onion  butter  watercress  olive oilvegetarian-1-1-1
Shukto,250,green bean  bitter gourd  ridge gourd  banana  brinjalvegetarianspicywest bengaleast
Til Pitha,251,glutinous ric  black sesame se  gurvegetariansweetassamnorth east
Bebinca,252,coconut milk  egg yolk  clarified butt  all purpose flourvegetariansweetgoawest
Shufta,253,cottage chees  dry dat  dried rose pet  pistachio  badamvegetariansweetjammu & kashmirnorth
Mawa Bati,254,milk powd  dry fruit  arrowroot powd  all purpose flourvegetariansweetmadhya pradeshcentr
Pinaca,255,brown ric  fennel se  grated coconut  black pepp  ginger powdervegetariansweetgoawest
